Date,actual,forecast
2015-06-20,6390661,7370839.853314669
2015-06-21,249849,523626.7640437875
2015-06-22,6552538,7754850.553628254
2015-06-23,6292372,8198345.52462882
2015-06-24,6257424,8039879.955275735
2015-06-25,6211764,6409693.203570629
2015-06-26,6634687,7598044.500772056
2015-06-27,6538314,7092224.333001036
2015-06-28,262669,483441.7621137323
2015-06-29,11916672,9034575.260203905
2015-06-30,11483932,8712348.095952213
2015-07-01,8989672,8276663.121072808
2015-07-02,8446293,7034662.427235901
2015-07-03,8530388,7925721.106148215
2015-07-04,6054276,7232257.794480554
2015-07-05,269248,546548.4947181307
2015-07-06,7540473,8671828.344719056
2015-07-07,6393024,8596652.61425958
2015-07-08,6915625,8250409.289189308
2015-07-09,6938182,6883164.8335298365
2015-07-10,7064909,7870141.55266004
2015-07-11,6262022,7237219.140811303
2015-07-12,277047,576329.3643706329
2015-07-13,10841267,8839005.990560925
2015-07-14,9340405,8684121.959589541
2015-07-15,8756137,8309021.316057949
2015-07-16,8373873,6982185.318068035
2015-07-17,7949337,7938215.185942024
2015-07-18,6448982,7285759.949847112
2015-07-19,298418,616862.439983787
2015-07-20,7339321,8835209.578351386
2015-07-21,6356482,8706042.512762364
2015-07-22,6110388,8340252.350763202
2015-07-23,6687068,7000379.029177519
2015-07-24,6601325,7966393.542280899
2015-07-25,6021666,7320240.347024051
2015-07-26,285865,653926.4401468514
2015-07-27,10707292,8886575.977341581
2015-07-28,9115073,8749111.62898238
2015-07-29,8499962,8380317.5473195845
2015-07-30,8798854,7044650.568077643
2015-07-31,10109742,8007443.650363025
