,0
Sales_roll_mean_30,1334.8641
Promo,814.106
Sales_lag_1,659.42676
DayOfWeek,401.45142
DaysSinceStart,120.61932
Month,93.95222
Sales_roll_std_30,84.40515
Sales_roll_mean_7,70.08089
WeekOfYear,69.31776
StoreType,63.967323
Sales_lag_7,63.26916
Sales_lag_14,60.33498
SchoolHoliday,53.518364
CompetitionDistance,40.811985
Sales_roll_std_7,38.227116
IsPromo,34.946407
Sales_lag_30,33.01997
Assortment,22.440771
IsWeekend,19.45674
Promo2,17.531353
Store,17.146069
IsSchoolHoliday,12.65085
Promo2SinceYear,11.157669
CompetitionOpenSinceMonth,10.203042
Promo2SinceWeek,9.544644
CompetitionOpenSinceYear,9.175465
Quarter,6.12621
Year,6.0658116
StateHoliday,0.658166
IsStateHoliday,0.054126557
