Store,Date,Actual_Demand,Forecast_Demand,sigma_demand,Safety_Stock,Reorder_Point,Recommended_Inventory,Stockout_Risk_pct
451,2015-06-20,4499,4901.0547,1019.3301276796401,4435.995913123378,38743.378813123374,73050.76171312337,5.000000000000004
919,2015-06-20,3059,3810.953,1453.3519042101466,6324.803841599493,33001.47484159949,59678.145841599486,5.000000000000004
78,2015-06-20,2643,2575.6467,993.0445256306756,4321.604294454533,22351.13119445453,40380.65809445453,5.000000000000004
233,2015-06-20,8210,8740.936,1393.9183541947366,6066.156541954846,67252.70854195484,128439.26054195483,5.000000000000016
1095,2015-06-20,4646,3655.3088,1123.4678071903618,4889.189935518543,30476.351535518545,56063.513135518544,4.999999999999993
495,2015-06-20,5363,4947.015,1298.7106997361625,5651.824860188805,40280.92986018881,74910.03486018881,5.000000000000004
704,2015-06-20,8675,10148.981,2299.7229720720634,10008.103781500135,81050.97078150013,152093.83778150013,5.000000000000004
759,2015-06-20,4943,5242.9624,2158.834672879691,9394.975706058134,46095.71250605813,82796.44930605813,5.000000000000004
418,2015-06-20,3594,2843.0676,1757.1489041240554,7646.889997440839,27548.363197440838,47449.83639744084,5.000000000000004
799,2015-06-20,9148,8532.453,1867.2046908336547,8125.838874553589,67853.00987455358,127580.18087455357,5.000000000000016
281,2015-06-20,5416,5788.322,905.3183221208976,3939.8309418616336,44458.084941861634,84976.33894186164,5.000000000000004
405,2015-06-20,3222,2598.1294,1639.1822915885382,7133.514205945515,25320.420005945514,43507.32580594551,5.000000000000004
796,2015-06-20,4694,5399.9443,2379.602057912836,10355.727469559184,48155.33756955918,85954.94766955919,5.000000000000004
1078,2015-06-20,6221,6754.9097,1927.586551271739,8388.613101329225,55672.98100132922,102957.34890132921,5.000000000000004
317,2015-06-20,6489,5382.0083,1064.6702479085275,4633.310387182639,42307.36848718264,79981.42658718265,5.000000000000004
703,2015-06-20,2222,2310.955,855.3770325511991,3722.492760234847,19899.177760234845,36075.86276023484,5.000000000000004
656,2015-06-20,3206,3202.3428,505.62143964618457,2200.400615023275,24616.800215023275,47033.199815023276,5.000000000000004
174,2015-06-20,5909,5787.6274,850.4306981840278,3700.9669380876476,44214.358738087656,84727.75053808765,4.999999999999982
188,2015-06-20,4195,4747.104,1271.3997847426567,5532.971209143845,38762.699209143844,71992.42720914385,5.000000000000016
178,2015-06-20,7365,8092.501,2675.1108517154025,11641.74439970156,68289.25139970156,124936.75839970156,4.999999999999993
635,2015-06-20,2150,2385.1526,2365.6372289196333,10294.954298376333,26991.022498376333,43687.09069837633,5.000000000000004
70,2015-06-20,6078,6184.9883,1486.7018828621055,6469.938734590057,49764.85683459006,93059.77493459007,5.000000000000004
384,2015-06-20,5142,6431.361,2608.1472871109754,11350.32742805803,56369.85442805803,101389.38142805803,5.000000000000004
